Origin,Destination,Route
Chợ Bình Tây,Ngã tư Lê Văn Sỹ,"['Đường Tô Hiệu' 'Đường Lý Tự Trọng' 'Đường Lý Thường Kiệt'
 'Đường Trường Chinh' 'Đường Đồng Khởi' 'Đường Cách Mạng Tháng Tám'
 'Đường Nguyễn Văn Quá' 'Đường Trần Hưng Đạo' 'Đường 3/2'
 'Đường Nguyễn Văn Linh']"
Chợ Bình Tây,Nhà thờ Chợ Lớn,"['Đường Trường Chinh' 'Đường Nguyễn Văn Linh' 'Đường Cái Vạn'
 'Đường Pasteur' 'Đường Tô Hiệu' 'Đường Lý Thường Kiệt' 'Đường Lê Văn Sỹ'
 'Đường Lê Lợi' 'Đường Nguyễn Văn Quá' 'Đường Lý Tự Trọng' 'Đường 3/2'
 'Đường Đồng Khởi' 'Đường Bạch Đằng' 'Đường Cách Mạng Tháng Tám']"
Chợ Bình Tây,Siêu thị Big C District 5,"['Đường Lý Tự Trọng' 'Đường Trường Chinh' 'Đường 3/2'
 'Đường Lý Thường Kiệt' 'Đường Cái Vạn' 'Đường Cách Mạng Tháng Tám'
 'Đường Nguyễn Văn Quá' 'Đường Nguyễn Văn Linh' 'Đường Lê Văn Sỹ'
 'Đường Pasteur' 'Đường Đồng Khởi']"
Chợ Bình Tây,Sân vận động Quận 5,"['Đường Pasteur' 'Đường Nguyễn Văn Quá' 'Đường Tô Hiệu'
 'Đường Cách Mạng Tháng Tám' 'Đường Cái Vạn' 'Đường Trần Hưng Đạo'
 'Đường Bạch Đằng' 'Đường Đồng Khởi' 'Đường Lý Thường Kiệt'
 'Đường Lý Tự Trọng' 'Đường Trường Chinh' 'Đường 3/2']"
Chợ Bình Tây,Trung tâm Thương Mại Chợ Lớn,"['Đường Lê Lợi' 'Đường Bạch Đằng' 'Đường Cách Mạng Tháng Tám' 'Đường 3/2'
 'Đường Tô Hiệu' 'Đường Trường Chinh' 'Đường Lý Tự Trọng'
 'Đường Đồng Khởi' 'Đường Pasteur' 'Đường Nguyễn Văn Quá'
 'Đường Trần Hưng Đạo']"
Chợ Bình Tây,Trung tâm Văn hóa Chợ Lớn,"['Đường Tô Hiệu' 'Đường Nguyễn Văn Linh' 'Đường Đồng Khởi'
 'Đường Lê Văn Sỹ' 'Đường Cách Mạng Tháng Tám' 'Đường Trần Hưng Đạo'
 'Đường Lý Thường Kiệt' 'Đường Lý Tự Trọng' 'Đường Trường Chinh'
 'Đường Bạch Đằng' 'Đường Nguyễn Văn Quá' 'Đường Cái Vạn']"
Chợ Bình Tây,Trung tâm Văn hóa Dân gian,"['Đường Cái Vạn' 'Đường 3/2' 'Đường Nguyễn Văn Linh' 'Đường Trần Hưng Đạo'
 'Đường Trường Chinh' 'Đường Đồng Khởi' 'Đường Lê Văn Sỹ'
 'Đường Lý Thường Kiệt' 'Đường Pasteur' 'Đường Lê Lợi' 'Đường Tô Hiệu']"
Chợ Bình Tây,Trung tâm Y tế Quận 5,"['Đường Cách Mạng Tháng Tám' 'Đường Nguyễn Văn Quá' 'Đường Pasteur'
 'Đường Lê Lợi' 'Đường Tô Hiệu' 'Đường Lê Văn Sỹ' 'Đường Trường Chinh'
 'Đường Lý Thường Kiệt' 'Đường Nguyễn Văn Linh' 'Đường Lý Tự Trọng'
 'Đường Cái Vạn' 'Đường 3/2' 'Đường Trần Hưng Đạo' 'Đường Bạch Đằng']"
Chợ Bình Tây,Trường Tiểu học Chợ Lớn,"['Đường Pasteur' 'Đường Lê Văn Sỹ' 'Đường Nguyễn Văn Linh'
 'Đường Nguyễn Văn Quá' 'Đường Tô Hiệu' 'Đường Bạch Đằng'
 'Đường Lý Tự Trọng' 'Đường Cách Mạng Tháng Tám' 'Đường Đồng Khởi'
 'Đường Trường Chinh' 'Đường Lý Thường Kiệt' 'Đường 3/2'
 'Đường Trần Hưng Đạo' 'Đường Lê Lợi']"
Chợ Bình Tây,Trường Trung học Chợ Lớn,"['Đường Cách Mạng Tháng Tám' 'Đường Lý Tự Trọng' 'Đường Lê Lợi'
 'Đường Nguyễn Văn Quá' 'Đường Lý Thường Kiệt' 'Đường Lê Văn Sỹ'
 'Đường 3/2' 'Đường Bạch Đằng' 'Đường Nguyễn Văn Linh' 'Đường Tô Hiệu'
 'Đường Pasteur' 'Đường Trường Chinh' 'Đường Trần Hưng Đạo'
 'Đường Đồng Khởi' 'Đường Cái Vạn']"
Chợ Bình Tây,Trạm xe buýt Quận 5,"['Đường Cái Vạn' 'Đường Lê Văn Sỹ' 'Đường Cách Mạng Tháng Tám'
 'Đường Tô Hiệu' 'Đường Đồng Khởi' 'Đường Pasteur' 'Đường Nguyễn Văn Quá'
 'Đường Nguyễn Văn Linh' 'Đường 3/2' 'Đường Trường Chinh'
 'Đường Lý Thường Kiệt']"
Chợ Bình Tây,Đền Bà Thiên Hậu,"['Đường Nguyễn Văn Linh' 'Đường Pasteur' 'Đường Lê Lợi'
 'Đường Trần Hưng Đạo' 'Đường Tô Hiệu' 'Đường Nguyễn Văn Quá'
 'Đường Cách Mạng Tháng Tám' 'Đường Cái Vạn' 'Đường Trường Chinh'
 'Đường 3/2' 'Đường Bạch Đằng' 'Đường Lý Tự Trọng' 'Đường Lê Văn Sỹ']"
Chợ Bình Tây,Đền Vua,"['Đường Đồng Khởi' 'Đường Lê Lợi' 'Đường Lê Văn Sỹ' 'Đường Lý Thường Kiệt'
 'Đường Trường Chinh' 'Đường Nguyễn Văn Linh' 'Đường Nguyễn Văn Quá'
 'Đường Tô Hiệu' 'Đường Cái Vạn' 'Đường Lý Tự Trọng' 'Đường Bạch Đằng']"
Chợ Bình Đông,Bưu điện Chợ Lớn,"['Đường 3/2' 'Đường Nguyễn Văn Quá' 'Đường Nguyễn Văn Linh'
 'Đường Cái Vạn' 'Đường Lê Văn Sỹ' 'Đường Đồng Khởi' 'Đường Pasteur'
 'Đường Lý Tự Trọng' 'Đường Cách Mạng Tháng Tám' 'Đường Trần Hưng Đạo'
 'Đường Lý Thường Kiệt' 'Đường Trường Chinh']"
Chợ Bình Đông,Bảo tàng Quận 5,"['Đường Tô Hiệu' 'Đường Lý Tự Trọng' 'Đường Trần Hưng Đạo' 'Đường Pasteur'
 'Đường Lý Thường Kiệt' 'Đường Trường Chinh' 'Đường Lê Văn Sỹ'
 'Đường Đồng Khởi' 'Đường Nguyễn Văn Quá' 'Đường Nguyễn Văn Linh'
 'Đường Bạch Đằng' 'Đường Cái Vạn' 'Đường Cách Mạng Tháng Tám' 'Đường 3/2']"
Chợ Bình Đông,Bệnh viện Quận 5,"['Đường Trường Chinh' 'Đường Trần Hưng Đạo' 'Đường Lý Tự Trọng'
 'Đường Nguyễn Văn Linh' 'Đường Lê Lợi' 'Đường Cái Vạn'
 'Đường Nguyễn Văn Quá' 'Đường Pasteur' 'Đường Lý Thường Kiệt'
 'Đường Lê Văn Sỹ' 'Đường Cách Mạng Tháng Tám' 'Đường Tô Hiệu' 'Đường 3/2']"
Chợ Bình Đông,Chợ Bình Tây,"['Đường Pasteur' 'Đường Tô Hiệu' 'Đường Cái Vạn' 'Đường Lý Tự Trọng'
 'Đường Lê Văn Sỹ' 'Đường Bạch Đằng' 'Đường Lý Thường Kiệt' 'Đường Lê Lợi'
 'Đường Đồng Khởi' 'Đường Nguyễn Văn Quá']"
Chợ Bình Đông,Công viên District 5,"['Đường Cách Mạng Tháng Tám' 'Đường Trường Chinh' 'Đường Đồng Khởi'
 'Đường Lê Văn Sỹ' 'Đường Pasteur' 'Đường Lý Tự Trọng' 'Đường 3/2'
 'Đường Trần Hưng Đạo' 'Đường Lê Lợi' 'Đường Tô Hiệu'
 'Đường Nguyễn Văn Linh' 'Đường Cái Vạn' 'Đường Lý Thường Kiệt']"
Chợ Bình Đông,Cửa hàng Điện máy X,"['Đường Lê Văn Sỹ' 'Đường Bạch Đằng' 'Đường Nguyễn Văn Linh' 'Đường 3/2'
 'Đường Pasteur' 'Đường Nguyễn Văn Quá' 'Đường Trường Chinh'
 'Đường Lý Thường Kiệt' 'Đường Đồng Khởi' 'Đường Lê Lợi' 'Đường Tô Hiệu'
 'Đường Lý Tự Trọng']"
Chợ Bình Đông,Ngã tư Lê Văn Sỹ,"['Đường Lê Lợi' 'Đường Nguyễn Văn Linh' 'Đường Lý Tự Trọng'
 'Đường Bạch Đằng' 'Đường Tô Hiệu' 'Đường Lê Văn Sỹ'
 'Đường Nguyễn Văn Quá' 'Đường Pasteur' 'Đường Đồng Khởi'
 'Đường Trần Hưng Đạo' 'Đường 3/2' 'Đường Trường Chinh'
 'Đường Lý Thường Kiệt']"
Chợ Bình Đông,Nhà thờ Chợ Lớn,"['Đường 3/2' 'Đường Nguyễn Văn Linh' 'Đường Nguyễn Văn Quá'
 'Đường Trần Hưng Đạo' 'Đường Lê Văn Sỹ' 'Đường Lý Thường Kiệt'
 'Đường Tô Hiệu' 'Đường Lý Tự Trọng' 'Đường Bạch Đằng' 'Đường Cái Vạn'
 'Đường Trường Chinh' 'Đường Cách Mạng Tháng Tám']"
Chợ Bình Đông,Siêu thị Big C District 5,"['Đường 3/2' 'Đường Cái Vạn' 'Đường Cách Mạng Tháng Tám' 'Đường Pasteur'
 'Đường Nguyễn Văn Quá' 'Đường Bạch Đằng' 'Đường Lê Văn Sỹ'
 'Đường Trường Chinh' 'Đường Lê Lợi' 'Đường Lý Tự Trọng'
 'Đường Lý Thường Kiệt' 'Đường Trần Hưng Đạo']"
Chợ Bình Đông,Sân vận động Quận 5,"['Đường Lý Tự Trọng' 'Đường Pasteur' 'Đường Trường Chinh' 'Đường Cái Vạn'
 'Đường Nguyễn Văn Quá' 'Đường Lý Thường Kiệt' 'Đường Tô Hiệu'
 'Đường Đồng Khởi' 'Đường Bạch Đằng' 'Đường Lê Lợi']"
Chợ Bình Đông,Trung tâm Thương Mại Chợ Lớn,"['Đường Tô Hiệu' 'Đường Trần Hưng Đạo' 'Đường Lý Tự Trọng' 'Đường Lê Lợi'
 'Đường 3/2' 'Đường Lý Thường Kiệt' 'Đường Trường Chinh'
 'Đường Nguyễn Văn Quá' 'Đường Cách Mạng Tháng Tám' 'Đường Lê Văn Sỹ'
 'Đường Cái Vạn' 'Đường Đồng Khởi' 'Đường Nguyễn Văn Linh']"
Chợ Bình Đông,Trung tâm Văn hóa Chợ Lớn,"['Đường Nguyễn Văn Quá' 'Đường Cái Vạn' 'Đường Cách Mạng Tháng Tám'
 'Đường Đồng Khởi' 'Đường Lý Thường Kiệt' 'Đường Bạch Đằng'
 'Đường Pasteur' 'Đường Nguyễn Văn Linh' 'Đường Trường Chinh'
 'Đường Lê Lợi']"
Chợ Bình Đông,Trung tâm Văn hóa Dân gian,"['Đường Tô Hiệu' 'Đường 3/2' 'Đường Lý Thường Kiệt' 'Đường Đồng Khởi'
 'Đường Bạch Đằng' 'Đường Cách Mạng Tháng Tám' 'Đường Pasteur'
 'Đường Nguyễn Văn Linh' 'Đường Trần Hưng Đạo' 'Đường Cái Vạn']"
Chợ Bình Đông,Trung tâm Y tế Quận 5,"['Đường Lê Văn Sỹ' 'Đường Trần Hưng Đạo' 'Đường Đồng Khởi'
 'Đường Cách Mạng Tháng Tám' 'Đường Nguyễn Văn Linh'
 'Đường Lý Thường Kiệt' 'Đường Nguyễn Văn Quá' 'Đường Lê Lợi'
 'Đường Lý Tự Trọng' 'Đường Trường Chinh' 'Đường Cái Vạn' 'Đường Pasteur'
 'Đường Bạch Đằng']"
Chợ Bình Đông,Trường Tiểu học Chợ Lớn,"['Đường Lý Thường Kiệt' 'Đường Trường Chinh' 'Đường Lý Tự Trọng'
 'Đường Tô Hiệu' 'Đường Pasteur' 'Đường Nguyễn Văn Linh'
 'Đường Trần Hưng Đạo' 'Đường Đồng Khởi' 'Đường Lê Lợi' 'Đường Lê Văn Sỹ'
 'Đường Bạch Đằng']"
Chợ Bình Đông,Trường Trung học Chợ Lớn,"['Đường Đồng Khởi' 'Đường Trần Hưng Đạo' 'Đường Lý Tự Trọng'
 'Đường Nguyễn Văn Quá' 'Đường Bạch Đằng' 'Đường Cái Vạn' 'Đường Pasteur'
 'Đường Trường Chinh' 'Đường Lê Lợi' 'Đường Lý Thường Kiệt'
 'Đường Nguyễn Văn Linh' 'Đường Cách Mạng Tháng Tám' 'Đường Tô Hiệu']"
Chợ Bình Đông,Trạm xe buýt Quận 5,"['Đường Lê Lợi' 'Đường Bạch Đằng' 'Đường Lý Thường Kiệt'
 'Đường Cách Mạng Tháng Tám' 'Đường Lý Tự Trọng' 'Đường Tô Hiệu'
 'Đường Cái Vạn' 'Đường Trường Chinh' 'Đường 3/2' 'Đường Lê Văn Sỹ'
 'Đường Nguyễn Văn Linh' 'Đường Đồng Khởi' 'Đường Pasteur']"
Chợ Bình Đông,Đền Bà Thiên Hậu,"['Đường Tô Hiệu' 'Đường Bạch Đằng' 'Đường Lý Thường Kiệt' 'Đường Pasteur'
 'Đường Đồng Khởi' 'Đường Nguyễn Văn Quá' 'Đường 3/2' 'Đường Cái Vạn'
 'Đường Trần Hưng Đạo' 'Đường Cách Mạng Tháng Tám' 'Đường Trường Chinh'
 'Đường Lê Văn Sỹ']"
Chợ Bình Đông,Đền Vua,"['Đường Trường Chinh' 'Đường Nguyễn Văn Quá' 'Đường Nguyễn Văn Linh'
 'Đường Tô Hiệu' 'Đường Lê Lợi' 'Đường Trần Hưng Đạo'
 'Đường Lý Thường Kiệt' 'Đường Bạch Đằng' 'Đường Lý Tự Trọng'
 'Đường Cách Mạng Tháng Tám' 'Đường Cái Vạn' 'Đường Lê Văn Sỹ'
 'Đường Pasteur']"
Công viên District 5,Bưu điện Chợ Lớn,"['Đường Nguyễn Văn Linh' 'Đường Trường Chinh' 'Đường Đồng Khởi'
 'Đường Tô Hiệu' 'Đường Cách Mạng Tháng Tám' 'Đường Cái Vạn' 'Đường 3/2'
 'Đường Bạch Đằng' 'Đường Nguyễn Văn Quá' 'Đường Lý Tự Trọng'
 'Đường Lý Thường Kiệt' 'Đường Lê Văn Sỹ']"
Công viên District 5,Bảo tàng Quận 5,"['Đường Đồng Khởi' 'Đường 3/2' 'Đường Pasteur' 'Đường Cái Vạn'
 'Đường Cách Mạng Tháng Tám' 'Đường Trường Chinh' 'Đường Trần Hưng Đạo'
 'Đường Lý Thường Kiệt' 'Đường Lê Lợi' 'Đường Nguyễn Văn Quá'
 'Đường Bạch Đằng' 'Đường Nguyễn Văn Linh']"
Công viên District 5,Bệnh viện Quận 5,"['Đường Nguyễn Văn Linh' 'Đường Nguyễn Văn Quá' 'Đường Tô Hiệu'
 'Đường Cái Vạn' 'Đường Đồng Khởi' 'Đường Lê Văn Sỹ' 'Đường Lê Lợi'
 'Đường Lý Tự Trọng' 'Đường Pasteur' 'Đường Bạch Đằng'
 'Đường Cách Mạng Tháng Tám' 'Đường 3/2' 'Đường Trường Chinh']"
Công viên District 5,Chợ Bình Tây,"['Đường Trần Hưng Đạo' 'Đường Đồng Khởi' 'Đường Lê Văn Sỹ' 'Đường 3/2'
 'Đường Pasteur' 'Đường Trường Chinh' 'Đường Cái Vạn' 'Đường Tô Hiệu'
 'Đường Nguyễn Văn Quá' 'Đường Cách Mạng Tháng Tám']"
Công viên District 5,Chợ Bình Đông,"['Đường Lý Thường Kiệt' 'Đường Trần Hưng Đạo' 'Đường Trường Chinh'
 'Đường Đồng Khởi' 'Đường Nguyễn Văn Quá' 'Đường Lê Văn Sỹ'
 'Đường Pasteur' 'Đường 3/2' 'Đường Nguyễn Văn Linh' 'Đường Cái Vạn'
 'Đường Lý Tự Trọng' 'Đường Bạch Đằng']"
Công viên District 5,Cửa hàng Điện máy X,"['Đường Cái Vạn' 'Đường Đồng Khởi' 'Đường Nguyễn Văn Quá'
 'Đường Lê Văn Sỹ' 'Đường Lý Tự Trọng' 'Đường Nguyễn Văn Linh'
 'Đường Trần Hưng Đạo' 'Đường Pasteur' 'Đường Trường Chinh'
 'Đường Bạch Đằng' 'Đường Tô Hiệu' 'Đường Lê Lợi'
 'Đường Cách Mạng Tháng Tám']"
Công viên District 5,Ngã tư Lê Văn Sỹ,"['Đường Lê Lợi' 'Đường Trường Chinh' 'Đường Bạch Đằng'
 'Đường Trần Hưng Đạo' 'Đường Tô Hiệu' 'Đường 3/2' 'Đường Nguyễn Văn Quá'
 'Đường Pasteur' 'Đường Lý Tự Trọng']"
Công viên District 5,Nhà thờ Chợ Lớn,"['Đường Đồng Khởi' 'Đường Lê Văn Sỹ' 'Đường Lê Lợi' 'Đường Nguyễn Văn Quá'
 'Đường Trường Chinh' 'Đường Cách Mạng Tháng Tám' 'Đường Lý Tự Trọng'
 'Đường Trần Hưng Đạo' 'Đường 3/2' 'Đường Bạch Đằng'
 'Đường Nguyễn Văn Linh']"
Công viên District 5,Siêu thị Big C District 5,"['Đường Trường Chinh' 'Đường Lê Lợi' 'Đường Nguyễn Văn Linh'
 'Đường Tô Hiệu' 'Đường Trần Hưng Đạo' 'Đường Lý Thường Kiệt'
 'Đường Lý Tự Trọng' 'Đường Bạch Đằng' 'Đường Cách Mạng Tháng Tám'
 'Đường Đồng Khởi' 'Đường Lê Văn Sỹ']"
Công viên District 5,Sân vận động Quận 5,"['Đường 3/2' 'Đường Bạch Đằng' 'Đường Nguyễn Văn Linh' 'Đường Lý Tự Trọng'
 'Đường Lê Văn Sỹ' 'Đường Đồng Khởi' 'Đường Lý Thường Kiệt'
 'Đường Trường Chinh' 'Đường Cái Vạn' 'Đường Tô Hiệu' 'Đường Lê Lợi'
 'Đường Pasteur']"
Công viên District 5,Trung tâm Thương Mại Chợ Lớn,"['Đường Cái Vạn' 'Đường Pasteur' 'Đường Lý Thường Kiệt'
 'Đường Nguyễn Văn Linh' 'Đường Bạch Đằng' 'Đường Nguyễn Văn Quá'
 'Đường Cách Mạng Tháng Tám' 'Đường Trần Hưng Đạo' 'Đường Tô Hiệu'
 'Đường Lê Văn Sỹ' 'Đường 3/2' 'Đường Lê Lợi' 'Đường Trường Chinh']"
Công viên District 5,Trung tâm Văn hóa Chợ Lớn,"['Đường Lê Lợi' 'Đường Cách Mạng Tháng Tám' 'Đường Trần Hưng Đạo'
 'Đường Tô Hiệu' 'Đường Lý Thường Kiệt' 'Đường Bạch Đằng' 'Đường Pasteur'
 'Đường Lê Văn Sỹ' 'Đường Trường Chinh' 'Đường Đồng Khởi'
 'Đường Nguyễn Văn Linh']"
Công viên District 5,Trung tâm Văn hóa Dân gian,"['Đường 3/2' 'Đường Nguyễn Văn Quá' 'Đường Bạch Đằng' 'Đường Trường Chinh'
 'Đường Lê Văn Sỹ' 'Đường Nguyễn Văn Linh' 'Đường Pasteur'
 'Đường Lý Tự Trọng' 'Đường Lý Thường Kiệt' 'Đường Lê Lợi' 'Đường Cái Vạn'
 'Đường Cách Mạng Tháng Tám' 'Đường Đồng Khởi' 'Đường Tô Hiệu']"
Công viên District 5,Trung tâm Y tế Quận 5,"['Đường Pasteur' 'Đường Nguyễn Văn Quá' 'Đường Lý Tự Trọng'
 'Đường Trần Hưng Đạo' 'Đường Trường Chinh' 'Đường Bạch Đằng'
 'Đường Cái Vạn' 'Đường Đồng Khởi' 'Đường 3/2' 'Đường Lê Lợi'
 'Đường Lý Thường Kiệt' 'Đường Tô Hiệu' 'Đường Nguyễn Văn Linh']"
Công viên District 5,Trường Tiểu học Chợ Lớn,"['Đường Cách Mạng Tháng Tám' 'Đường Lý Thường Kiệt' 'Đường Trần Hưng Đạo'
 'Đường Pasteur' 'Đường 3/2' 'Đường Bạch Đằng' 'Đường Lý Tự Trọng'
 'Đường Tô Hiệu' 'Đường Cái Vạn' 'Đường Đồng Khởi' 'Đường Lê Văn Sỹ'
 'Đường Lê Lợi' 'Đường Nguyễn Văn Linh' 'Đường Nguyễn Văn Quá']"
Công viên District 5,Trường Trung học Chợ Lớn,"['Đường 3/2' 'Đường Lê Văn Sỹ' 'Đường Nguyễn Văn Linh' 'Đường Lý Tự Trọng'
 'Đường Lê Lợi' 'Đường Trường Chinh' 'Đường Đồng Khởi' 'Đường Pasteur'
 'Đường Bạch Đằng' 'Đường Tô Hiệu' 'Đường Nguyễn Văn Quá'
 'Đường Trần Hưng Đạo' 'Đường Lý Thường Kiệt']"
Công viên District 5,Trạm xe buýt Quận 5,"['Đường Lý Thường Kiệt' 'Đường 3/2' 'Đường Nguyễn Văn Linh'
 'Đường Đồng Khởi' 'Đường Lê Lợi' 'Đường Tô Hiệu'
 'Đường Cách Mạng Tháng Tám' 'Đường Nguyễn Văn Quá' 'Đường Lê Văn Sỹ'
 'Đường Cái Vạn' 'Đường Lý Tự Trọng' 'Đường Trường Chinh'
 'Đường Trần Hưng Đạo']"
Công viên District 5,Đền Bà Thiên Hậu,"['Đường Lê Văn Sỹ' 'Đường Tô Hiệu' 'Đường Nguyễn Văn Quá'
 'Đường Trường Chinh' 'Đường Cái Vạn' 'Đường 3/2' 'Đường Nguyễn Văn Linh'
 'Đường Cách Mạng Tháng Tám' 'Đường Lý Thường Kiệt' 'Đường Pasteur'
 'Đường Đồng Khởi' 'Đường Lê Lợi' 'Đường Trần Hưng Đạo' 'Đường Bạch Đằng'
 'Đường Lý Tự Trọng']"
Công viên District 5,Đền Vua,"['Đường Trần Hưng Đạo' 'Đường Lê Văn Sỹ' 'Đường Pasteur' 'Đường Đồng Khởi'
 'Đường Cách Mạng Tháng Tám' 'Đường Lý Thường Kiệt' 'Đường Trường Chinh'
 'Đường Tô Hiệu' 'Đường Nguyễn Văn Quá' 'Đường Cái Vạn']"
Cửa hàng Điện máy X,Bưu điện Chợ Lớn,"['Đường Lý Thường Kiệt' 'Đường Trường Chinh' 'Đường Đồng Khởi'
 'Đường Pasteur' 'Đường Tô Hiệu' 'Đường Lê Lợi' 'Đường Nguyễn Văn Quá'
 'Đường Cách Mạng Tháng Tám' 'Đường 3/2' 'Đường Bạch Đằng'
 'Đường Lê Văn Sỹ']"
Cửa hàng Điện máy X,Bảo tàng Quận 5,"['Đường Lê Lợi' 'Đường 3/2' 'Đường Tô Hiệu' 'Đường Bạch Đằng'
 'Đường Lê Văn Sỹ' 'Đường Cái Vạn' 'Đường Lý Tự Trọng'
 'Đường Nguyễn Văn Linh' 'Đường Nguyễn Văn Quá' 'Đường Trường Chinh'
 'Đường Đồng Khởi' 'Đường Lý Thường Kiệt']"
Cửa hàng Điện máy X,Bệnh viện Quận 5,"['Đường Nguyễn Văn Quá' 'Đường Nguyễn Văn Linh' 'Đường Bạch Đằng'
 'Đường Đồng Khởi' 'Đường Trần Hưng Đạo' 'Đường Pasteur'
 'Đường Lý Thường Kiệt' 'Đường Lê Lợi' 'Đường Cách Mạng Tháng Tám'
 'Đường Lê Văn Sỹ' 'Đường Tô Hiệu' 'Đường Cái Vạn' 'Đường 3/2'
 'Đường Trường Chinh']"
Cửa hàng Điện máy X,Chợ Bình Tây,"['Đường Trường Chinh' 'Đường Cách Mạng Tháng Tám' 'Đường Đồng Khởi'
 'Đường Bạch Đằng' 'Đường Lê Lợi' 'Đường Nguyễn Văn Quá'
 'Đường Lý Tự Trọng' 'Đường Nguyễn Văn Linh' 'Đường 3/2' 'Đường Lê Văn Sỹ'
 'Đường Lý Thường Kiệt' 'Đường Cái Vạn' 'Đường Trần Hưng Đạo']"
Cửa hàng Điện máy X,Chợ Bình Đông,"['Đường Nguyễn Văn Quá' 'Đường Cái Vạn' 'Đường Lý Tự Trọng'
 'Đường Đồng Khởi' 'Đường 3/2' 'Đường Nguyễn Văn Linh'
 'Đường Trường Chinh' 'Đường Lý Thường Kiệt' 'Đường Lê Lợi'
 'Đường Cách Mạng Tháng Tám' 'Đường Pasteur' 'Đường Trần Hưng Đạo'
 'Đường Bạch Đằng' 'Đường Tô Hiệu']"
Cửa hàng Điện máy X,Công viên District 5,"['Đường Đồng Khởi' 'Đường Trần Hưng Đạo' 'Đường Lý Thường Kiệt'
 'Đường Cái Vạn' 'Đường Cách Mạng Tháng Tám' 'Đường Bạch Đằng'
 'Đường Tô Hiệu' 'Đường 3/2' 'Đường Nguyễn Văn Linh'
 'Đường Nguyễn Văn Quá' 'Đường Lê Văn Sỹ' 'Đường Lê Lợi'
 'Đường Lý Tự Trọng' 'Đường Trường Chinh']"
Cửa hàng Điện máy X,Ngã tư Lê Văn Sỹ,"['Đường Trần Hưng Đạo' 'Đường Nguyễn Văn Quá' 'Đường 3/2'
 'Đường Lý Thường Kiệt' 'Đường Lý Tự Trọng' 'Đường Pasteur'
 'Đường Trường Chinh' 'Đường Đồng Khởi' 'Đường Cái Vạn' 'Đường Lê Lợi'
 'Đường Cách Mạng Tháng Tám' 'Đường Tô Hiệu']"
Cửa hàng Điện máy X,Nhà thờ Chợ Lớn,"['Đường Cái Vạn' 'Đường Lê Văn Sỹ' 'Đường Tô Hiệu' 'Đường Pasteur'
 'Đường Lý Tự Trọng' 'Đường Nguyễn Văn Linh' 'Đường Lý Thường Kiệt'
 'Đường Nguyễn Văn Quá' 'Đường Lê Lợi' 'Đường Đồng Khởi'
 'Đường Cách Mạng Tháng Tám' 'Đường Trường Chinh' 'Đường Trần Hưng Đạo']"
Cửa hàng Điện máy X,Siêu thị Big C District 5,"['Đường 3/2' 'Đường Lê Văn Sỹ' 'Đường Lý Thường Kiệt' 'Đường Tô Hiệu'
 'Đường Pasteur' 'Đường Cách Mạng Tháng Tám' 'Đường Bạch Đằng'
 'Đường Lê Lợi' 'Đường Cái Vạn' 'Đường Nguyễn Văn Quá' 'Đường Lý Tự Trọng'
 'Đường Trường Chinh']"
Cửa hàng Điện máy X,Sân vận động Quận 5,"['Đường Nguyễn Văn Linh' 'Đường 3/2' 'Đường Đồng Khởi'
 'Đường Trần Hưng Đạo' 'Đường Cái Vạn' 'Đường Lý Thường Kiệt'
 'Đường Bạch Đằng' 'Đường Cách Mạng Tháng Tám' 'Đường Nguyễn Văn Quá'
 'Đường Pasteur']"
Cửa hàng Điện máy X,Trung tâm Thương Mại Chợ Lớn,"['Đường Bạch Đằng' 'Đường Đồng Khởi' 'Đường Lý Tự Trọng'
 'Đường Nguyễn Văn Linh' 'Đường Nguyễn Văn Quá' 'Đường Lê Lợi' 'Đường 3/2'
 'Đường Tô Hiệu' 'Đường Trường Chinh' 'Đường Pasteur'
 'Đường Cách Mạng Tháng Tám' 'Đường Lý Thường Kiệt' 'Đường Cái Vạn'
 'Đường Trần Hưng Đạo']"
Cửa hàng Điện máy X,Trung tâm Văn hóa Chợ Lớn,"['Đường Đồng Khởi' 'Đường Pasteur' 'Đường 3/2' 'Đường Lý Tự Trọng'
 'Đường Cách Mạng Tháng Tám' 'Đường Cái Vạn' 'Đường Nguyễn Văn Quá'
 'Đường Tô Hiệu' 'Đường Lý Thường Kiệt' 'Đường Trường Chinh'
 'Đường Bạch Đằng' 'Đường Nguyễn Văn Linh']"
Cửa hàng Điện máy X,Trung tâm Văn hóa Dân gian,"['Đường Pasteur' 'Đường Cách Mạng Tháng Tám' 'Đường Nguyễn Văn Linh'
 'Đường Đồng Khởi' 'Đường Tô Hiệu' 'Đường Nguyễn Văn Quá'
 'Đường Trần Hưng Đạo' 'Đường Lê Lợi' 'Đường Bạch Đằng'
 'Đường Lý Tự Trọng' 'Đường Lý Thường Kiệt']"
Cửa hàng Điện máy X,Trung tâm Y tế Quận 5,"['Đường Lê Văn Sỹ' 'Đường Tô Hiệu' 'Đường 3/2' 'Đường Đồng Khởi'
 'Đường Trường Chinh' 'Đường Trần Hưng Đạo' 'Đường Cái Vạn' 'Đường Lê Lợi'
 'Đường Lý Tự Trọng' 'Đường Pasteur' 'Đường Bạch Đằng'
 'Đường Nguyễn Văn Quá' 'Đường Cách Mạng Tháng Tám'
 'Đường Nguyễn Văn Linh' 'Đường Lý Thường Kiệt']"
